eta,N,MAD,RMSE,labels,num.leaves
0.05,6,376.522545,398.4878871,"numCrashes < 372.5, numCrashes < 284.5, numCrashes < 604.5, propMentions < 0.306656003, propMentions < 0.0226573199, propMentions < 0.0206043962, numCrashes < 681.5, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf",8
0.05,7,358.0807537,379.6554686,"numCrashes < 372.5, numCrashes < 285.5, numCrashes < 604.5, propMentions < 0.292071104, propMentions < 0.0226573199, propMentions < 0.0206043962, snow < 0.0500000007, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf",8
0.05,8,340.4924644,361.7583369,"numCrashes < 391.5, propMentions < 0.0226573199, numCrashes < 605.5, Leaf, numCrashes < 251.5, numCrashes < 527.5, numCrashes < 681.5, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf",7
0.05,9,323.8288719,344.8236146,"numCrashes < 372.5, numCrashes < 285.5, numCrashes < 605.5, propMentions < 0.306656003, propMentions < 0.0226573199, propMentions < 0.0206043962, snow < 0.0500000007, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf",8
0.05,10,308.0343905,328.7988865,"numCrashes < 372.5, numCrashes < 284.5, numCrashes < 604.5, numCrashes < 161, propMentions < 0.0226573199, propMentions < 0.023392614, numCrashes < 681.5, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf",8
0.05,11,292.9898423,313.596964,"numCrashes < 372.5, numCrashes < 227.5, numCrashes < 604.5, numCrashes < 161, propMentions < 0.0226573199, propMentions < 0.0206043962, numCrashes < 654.5, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf",8
0.05,12,278.6833081,299.1715204,"numCrashes < 391.5, numCrashes < 306.5, numCrashes < 605.5, numCrashes < 199, propMentions < 0.0117958589, numCrashes < 524.5, snow < 0.0500000007, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf",8
0.05,13,265.1887669,285.5469468,"numCrashes < 372.5, numCrashes < 267.5, numCrashes < 604.5, propMentions < 0.292071104, propMentions < 0.0226573199, propMentions < 0.0206043962, numCrashes < 681.5, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf",8
0.05,14,252.3338222,272.613852,"numCrashes < 391.5, numCrashes < 315.5, numCrashes < 605.5, numCrashes < 191.5, propMentions < 0.0117958589, numCrashes < 497.5, snow < 0.0500000007, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf",8
0.05,15,240.1559087,260.3787504,"numCrashes < 372.5, numCrashes < 285.5, numCrashes < 531.5, propMentions < 0.292071104, propMentions < 0.0226573199, propMentions < 0.0339429528, numCrashes < 654.5, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf",8
0.05,16,228.5924635,248.8077151,"numCrashes < 372.5, numCrashes < 285.5, numCrashes < 531.5, numCrashes < 161, propMentions < 0.0226573199, propMentions < 0.0339429528, numCrashes < 654.5, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf",8
0.05,17,217.5601318,237.8276908,"numCrashes < 369.5, numCrashes < 240.5, numCrashes < 531.5, numCrashes < 161, propMentions < 0.0226573199, propMentions < 0.0731968433, numCrashes < 654.5, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf",8
0.05,18,207.0258702,227.402458,"numCrashes < 403.5, numCrashes < 315.5, numCrashes < 625.5, propMentions < 0.306656003, propMentions < 0.0117958589, numCrashes < 527.5, propMentions < 0.0261221845, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf",8
0.05,19,197.085204,217.6114476,"numCrashes < 369.5, numCrashes < 267.5, numCrashes < 604.5, numCrashes < 161, propMentions < 0.0226573199, propMentions < 0.0206043962, snow < 0.0500000007, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf",8
0.05,20,187.6311558,208.3254038,"numCrashes < 403.5, numCrashes < 315.5, numCrashes < 629.5, numCrashes < 199, propMentions < 0.0117958589, numCrashes < 520.5, propMentions < 0.0261221845, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf",8
0.1,1,459.5171889,483.4437071,"numCrashes < 387.5, propMentions < 0.0226573199, numCrashes < 604.5, Leaf, numCrashes < 245.5, propMentions < 0.0206043962, numCrashes < 681.5, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf",7
0.1,2,414.1452116,436.9635318,"numCrashes < 391.5, propMentions < 0.0226573199, numCrashes < 605.5, Leaf, numCrashes < 227.5, numCrashes < 527.5, numCrashes < 681.5, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf",7
0.1,3,373.5008479,395.3812764,"numCrashes < 372.5, numCrashes < 284.5, numCrashes < 604.5, propMentions < 0.306656003, propMentions < 0.0226573199, propMentions < 0.0206043962, numCrashes < 681.5, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf",8
0.1,4,336.7819686,357.9909221,"numCrashes < 390, propMentions < 0.0226573199, numCrashes < 605.5, Leaf, numCrashes < 245.5, numCrashes < 525.5, snow < 0.0500000007, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf",7
0.1,5,303.8754081,324.5880291,"numCrashes < 372.5, numCrashes < 285.5, numCrashes < 604.5, propMentions < 0.292071104, propMentions < 0.0226573199, propMentions < 0.0206043962, numCrashes < 681.5, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf",8
0.1,6,274.2716574,294.6923388,"numCrashes < 372.5, numCrashes < 267.5, numCrashes < 604.5, numCrashes < 161, propMentions < 0.0226573199, propMentions < 0.023392614, snow < 0.0500000007, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf",8
0.1,7,247.7202644,267.9478024,"numCrashes < 391.5, numCrashes < 310.5, numCrashes < 605.5, numCrashes < 199, propMentions < 0.0117958589, numCrashes < 497.5, numCrashes < 654.5, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf",8
0.1,8,223.8448075,244.0480186,"numCrashes < 372.5, numCrashes < 285.5, numCrashes < 531.5, numCrashes < 161, propMentions < 0.0226573199, propMentions < 0.0339429528, numCrashes < 654.5, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf",8
0.1,9,202.2259925,222.672603,"numCrashes < 369.5, numCrashes < 227.5, numCrashes < 605.5, numCrashes < 161, propMentions < 0.0226573199, propMentions < 0.0206043962, snow < 0.0500000007, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf",8
0.1,10,182.7442016,203.5595177,"numCrashes < 403.5, numCrashes < 315.5, numCrashes < 629.5, propMentions < 0.306656003, propMentions < 0.0117958589, numCrashes < 531.5, propMentions < 0.0261221845, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf",8
0.1,11,165.3954803,186.6392383,"numCrashes < 403.5, numCrashes < 315.5, numCrashes < 629.5, numCrashes < 191.5, propMentions < 0.0117958589, numCrashes < 520.5, propMentions < 0.0261221845, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf",8
0.1,12,150.0461172,171.7594028,"numCrashes < 369.5, numCrashes < 251.5, numCrashes < 567.5, numCrashes < 161, propMentions < 0.172252744, propMentions < 0.0199710466, numCrashes < 681.5, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf",8
0.1,13,136.454866,158.6219456,"numCrashes < 403.5, numCrashes < 306.5, numCrashes < 638.5, propMentions < 0.292071104, propMentions < 0.0117958589, propMentions < 0.0147442399, snow < 0.0500000007, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf, Leaf",8
