"numCrashes","wind","precip","snow","propMentions","monthlyBus","monthlySubway","monthlyAAR","monthlyLIRR","monthlyMNR","label"
557,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",458
458,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",452
452,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",556
556,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",612
612,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",522
522,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",654
654,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",547
547,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",480
480,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",562
562,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",594
594,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",404
404,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",620
620,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",703
703,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",485
485,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",449
449,NA,NA,NA,NA,"55654524","136901247","751663","6719248","6618194",555
555,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",593
593,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",502
502,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",554
554,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",693
693,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",500
500,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",481
481,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",376
376,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",570
570,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",640
640,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",657
657,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",594
594,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",547
547,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",517
517,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",607
607,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",602
602,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",615
615,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",630
630,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",738
738,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",587
587,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",426
426,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",609
609,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",522
522,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",494
494,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",511
511,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",598
598,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",524
524,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",403
403,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",298
298,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",372
372,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",549
549,NA,NA,NA,NA,"55633313","137259455","728056","6621963","6639905",439
439,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",345
345,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",307
307,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",344
344,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",479
479,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",514
514,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",718
718,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",550
550,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",688
688,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",444
444,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",526
526,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",547
547,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",648
648,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",625
625,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",623
623,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",672
672,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",542
542,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",446
446,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",585
585,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",671
671,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",689
689,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",384
384,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",481
481,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",458
458,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",415
415,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",563
563,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",583
583,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",512
512,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",515
515,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",576
576,NA,NA,NA,NA,"52269910","124309325","661577","5607406","6211787",480
480,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",455
455,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",621
621,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",621
621,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",514
514,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",620
620,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",714
714,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",580
580,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",544
544,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",619
619,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",578
578,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",550
550,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",545
545,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",648
648,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",523
523,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",500
500,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",649
649,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",645
645,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",590
590,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",606
606,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",751
751,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",542
542,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",408
408,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",518
518,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",354
354,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",531
531,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",525
525,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",557
557,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",442
442,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",411
411,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",482
482,NA,NA,NA,NA,"53681765","137471991","756766","6858868","6901053",381
381,15.21,0,0,0,"55995393","137079095","711886","6628268","6559572",480
480,14.54,0,0,0,"55995393","137079095","711886","6628268","6559572",549
549,11.63,0,0,0,"55995393","137079095","711886","6628268","6559572",505
505,16.33,0,0,0,"55995393","137079095","711886","6628268","6559572",389
389,11.63,0,0,0,"55995393","137079095","711886","6628268","6559572",393
393,10.29,0,0,0,"55995393","137079095","711886","6628268","6559572",521
521,8.28,0,0,0,"55995393","137079095","711886","6628268","6559572",513
513,10.51,0,0,0,"55995393","137079095","711886","6628268","6559572",487
487,7.83,0,0,0,"55995393","137079095","711886","6628268","6559572",555
555,11.86,0,0,0.00446428571428571,"55995393","137079095","711886","6628268","6559572",660
660,6.26,0.58,0,0,"55995393","137079095","711886","6628268","6559572",475
475,6.04,0.06,0,0,"55995393","137079095","711886","6628268","6559572",373
373,5.82,0.01,0,0,"55995393","137079095","711886","6628268","6559572",542
542,9.4,0.03,0,0.00436681222707424,"55995393","137079095","711886","6628268","6559572",516
516,8.72,0.11,0,0.00854700854700855,"55995393","137079095","711886","6628268","6559572",578
578,9.4,0.82,0.1,0,"55995393","137079095","711886","6628268","6559572",491
491,11.63,0,0,0.00431034482758621,"55995393","137079095","711886","6628268","6559572",561
561,12.97,0,0,0.00390625,"55995393","137079095","711886","6628268","6559572",484
484,16.11,0,0,0,"55995393","137079095","711886","6628268","6559572",393
393,18.12,0,0,0,"55995393","137079095","711886","6628268","6559572",355
355,8.5,0.03,0.1,0.00632911392405063,"55995393","137079095","711886","6628268","6559572",544
544,18.34,0,0,0,"55995393","137079095","711886","6628268","6559572",545
545,13.87,0,0,0.00403225806451613,"55995393","137079095","711886","6628268","6559572",554
554,15.43,0,0,0,"55995393","137079095","711886","6628268","6559572",674
674,8.95,0.05,0.8,0.00387596899224806,"55995393","137079095","711886","6628268","6559572",558
558,12.75,0,0,0,"55995393","137079095","711886","6628268","6559572",429
429,9.4,0,0,0,"55995393","137079095","711886","6628268","6559572",507
507,8.5,0.19,0.1,0.00467289719626168,"55995393","137079095","711886","6628268","6559572",542
542,7.16,0.03,0,0.00881057268722467,"55995393","137079095","711886","6628268","6559572",497
497,17,0.03,0,0,"55995393","137079095","711886","6628268","6559572",592
592,28.86,0.45,0,0,"55995393","137079095","711886","6628268","6559572",574
574,19.69,0,0,0,"52454969","127900426","656703","6020679","5883759",534
534,13.2,0.02,0.3,0,"52454969","127900426","656703","6020679","5883759",445
445,7.16,0.03,0.5,0,"52454969","127900426","656703","6020679","5883759",553
553,15.88,0,0,0,"52454969","127900426","656703","6020679","5883759",566
566,5.59,0.01,0.2,0,"52454969","127900426","656703","6020679","5883759",566
566,12.08,0,0,0,"52454969","127900426","656703","6020679","5883759",526
526,6.93,0,0,0,"52454969","127900426","656703","6020679","5883759",703
703,19.91,0.78,2.9,0,"52454969","127900426","656703","6020679","5883759",403
403,20.36,0.18,3.5,0,"52454969","127900426","656703","6020679","5883759",400
400,5.82,0,0,0,"52454969","127900426","656703","6020679","5883759",475
475,7.16,0.46,0,0,"52454969","127900426","656703","6020679","5883759",498
498,14.32,0,0,0,"52454969","127900426","656703","6020679","5883759",570
570,5.14,0.01,0,0.00418410041841004,"52454969","127900426","656703","6020679","5883759",631
631,8.72,0,0,0,"52454969","127900426","656703","6020679","5883759",604
604,8.28,0,0,0,"52454969","127900426","656703","6020679","5883759",449
449,14.09,0,0,0,"52454969","127900426","656703","6020679","5883759",447
447,27.07,0,0,0,"52454969","127900426","656703","6020679","5883759",398
398,16.33,0,0,0.00662251655629139,"52454969","127900426","656703","6020679","5883759",477
477,15.43,0.13,0,0,"52454969","127900426","656703","6020679","5883759",510
510,21.25,0,0,0,"52454969","127900426","656703","6020679","5883759",498
498,20.8,0,0,0.00444444444444444,"52454969","127900426","656703","6020679","5883759",531
531,9.4,0,0,0,"52454969","127900426","656703","6020679","5883759",521
521,11.63,0.38,0,0,"52454969","127900426","656703","6020679","5883759",426
426,16.11,0.03,0,0,"52454969","127900426","656703","6020679","5883759",490
490,8.5,0,0,0,"52454969","127900426","656703","6020679","5883759",537
537,12.75,0.1,0,0,"52454969","127900426","656703","6020679","5883759",550
550,17.9,0.6,0,0,"52454969","127900426","656703","6020679","5883759",517
517,9.17,0,0,0,"52454969","127900426","656703","6020679","5883759",603
603,12.97,0,0,0,"57197015","142325996","756606","6897877","6827779",474
474,12.3,0,0,0,"57197015","142325996","756606","6897877","6827779",502
502,14.76,0,0,0,"57197015","142325996","756606","6897877","6827779",597
597,19.91,0,0,0,"57197015","142325996","756606","6897877","6827779",527
527,10.29,0,0,0,"57197015","142325996","756606","6897877","6827779",475
475,23.49,0,0,0.00396825396825397,"57197015","142325996","756606","6897877","6827779",535
535,21.47,0.07,0,0.00476190476190476,"57197015","142325996","756606","6897877","6827779",851
851,18.57,0.27,3,0,"57197015","142325996","756606","6897877","6827779",569
569,12.53,0,0,0,"57197015","142325996","756606","6897877","6827779",415
415,7.16,0,0,0,"57197015","142325996","756606","6897877","6827779",522
522,9.84,0,0,0,"57197015","142325996","756606","6897877","6827779",547
547,18.79,0.66,0,0,"57197015","142325996","756606","6897877","6827779",636
636,12.3,0,0,0,"57197015","142325996","756606","6897877","6827779",557
557,22.59,0,0,0,"57197015","142325996","756606","6897877","6827779",607
607,14.32,0,0,0,"57197015","142325996","756606","6897877","6827779",521
521,6.93,0.02,0,0,"57197015","142325996","756606","6897877","6827779",426
426,12.3,0,0,0,"57197015","142325996","756606","6897877","6827779",623
623,14.32,0.47,1.4,0,"57197015","142325996","756606","6897877","6827779",559
559,13.87,0.46,0,0,"57197015","142325996","756606","6897877","6827779",540
540,15.43,0,0,0,"57197015","142325996","756606","6897877","6827779",508
508,12.53,0,0,0.00418410041841004,"57197015","142325996","756606","6897877","6827779",604
604,14.09,0,0,0,"57197015","142325996","756606","6897877","6827779",488
488,18.34,0,0,0,"57197015","142325996","756606","6897877","6827779",451
451,8.72,0,0,0,"57197015","142325996","756606","6897877","6827779",498
498,9.62,0.25,0,0,"57197015","142325996","756606","6897877","6827779",425
425,9.4,0,0,0,"57197015","142325996","756606","6897877","6827779",441
441,14.54,0,0,0,"57197015","142325996","756606","6897877","6827779",549
549,14.54,0,0,0.00420168067226891,"57197015","142325996","756606","6897877","6827779",520
520,12.75,0,0,0.00881057268722467,"57197015","142325996","756606","6897877","6827779",513
513,9.4,0,0,0,"57197015","142325996","756606","6897877","6827779",426
426,10.96,0.12,0,0,"57197015","142325996","756606","6897877","6827779",479
479,14.99,0,0,0,"59905187","146912790","765392","6961659","6973346",437
437,16.33,0,0,0.00520833333333333,"59905187","146912790","765392","6961659","6973346",532
532,18.12,0,0,0,"59905187","146912790","765392","6961659","6973346",566
566,11.63,0,0,0,"59905187","146912790","765392","6961659","6973346",582
582,12.53,0,0,0,"59905187","146912790","765392","6961659","6973346",531
531,12.75,0,0,0,"59905187","146912790","765392","6961659","6973346",451
451,16.33,0,0,0,"59905187","146912790","765392","6961659","6973346",582
582,6.93,0,0,0,"59905187","146912790","765392","6961659","6973346",613
613,6.71,0,0,0.00476190476190476,"59905187","146912790","765392","6961659","6973346",580
580,9.17,0.59,0,0,"59905187","146912790","765392","6961659","6973346",517
517,11.41,0,0,0,"59905187","146912790","765392","6961659","6973346",649
649,18.12,0.87,0,0.00390625,"59905187","146912790","765392","6961659","6973346",555
555,8.95,0.01,0,0.00819672131147541,"59905187","146912790","765392","6961659","6973346",472
472,11.41,0,0,0,"59905187","146912790","765392","6961659","6973346",603
603,8.05,0,0,0.00529100529100529,"59905187","146912790","765392","6961659","6973346",564
564,14.54,0,0,0,"59905187","146912790","765392","6961659","6973346",535
535,7.61,0.01,0,0,"59905187","146912790","765392","6961659","6973346",553
553,12.08,0,0,0.00492610837438424,"59905187","146912790","765392","6961659","6973346",570
570,20.8,0.07,0,0,"59905187","146912790","765392","6961659","6973346",532
532,17.22,0.18,0,0,"59905187","146912790","765392","6961659","6973346",471
471,10.51,0,0,0,"59905187","146912790","765392","6961659","6973346",565
565,15.43,0,0,0,"59905187","146912790","765392","6961659","6973346",513
513,14.54,0,0,0,"59905187","146912790","765392","6961659","6973346",598
598,13.87,0,0,0,"59905187","146912790","765392","6961659","6973346",583
583,15.21,0,0,0.00454545454545455,"59905187","146912790","765392","6961659","6973346",675
675,8.5,0,0,0,"59905187","146912790","765392","6961659","6973346",517
517,8.95,0,0,0,"59905187","146912790","765392","6961659","6973346",440
440,8.5,0,0,0,"59905187","146912790","765392","6961659","6973346",598
598,8.72,0.05,0,0,"59905187","146912790","765392","6961659","6973346",576
576,9.62,0,0,0,"59905187","146912790","765392","6961659","6973346",576
576,7.83,0,0,0,"60642837","150755402","769208","7112429","7061067",585
585,6.04,0,0,0,"60642837","150755402","769208","7112429","7061067",686
686,8.5,0,0,0.00374531835205993,"60642837","150755402","769208","7112429","7061067",580
580,8.95,0,0,0.00961538461538462,"60642837","150755402","769208","7112429","7061067",515
515,10.29,0,0,0,"60642837","150755402","769208","7112429","7061067",561
561,5.59,0,0,0,"60642837","150755402","769208","7112429","7061067",592
592,8.28,0,0,0,"60642837","150755402","769208","7112429","7061067",620
620,10.07,1.54,0,0,"60642837","150755402","769208","7112429","7061067",602
602,7.61,0.75,0,0.00436681222707424,"60642837","150755402","769208","7112429","7061067",698
698,9.62,0,0,0,"60642837","150755402","769208","7112429","7061067",523
523,13.42,0.39,0,0,"60642837","150755402","769208","7112429","7061067",527
527,18.34,0.02,0,0,"60642837","150755402","769208","7112429","7061067",577
577,16.33,0,0,0,"60642837","150755402","769208","7112429","7061067",565
565,11.41,0,0,0.00492610837438424,"60642837","150755402","769208","7112429","7061067",532
532,11.41,0.03,0,0,"60642837","150755402","769208","7112429","7061067",559
559,8.5,0,0,0,"60642837","150755402","769208","7112429","7061067",741
741,8.72,0,0,0,"60642837","150755402","769208","7112429","7061067",506
506,5.82,0.01,0,0,"60642837","150755402","769208","7112429","7061067",544
544,10.74,0.45,0,0,"60642837","150755402","769208","7112429","7061067",657
657,7.16,0,0,0,"60642837","150755402","769208","7112429","7061067",697
697,8.95,0,0,0,"60642837","150755402","769208","7112429","7061067",570
570,7.61,0,0,0.00448430493273543,"60642837","150755402","769208","7112429","7061067",735
735,18.12,0.03,0,0,"60642837","150755402","769208","7112429","7061067",668
668,13.65,0.2,0,0,"60642837","150755402","769208","7112429","7061067",514
514,21.92,0.07,0,0,"60642837","150755402","769208","7112429","7061067",455
455,17.67,0,0,0,"60642837","150755402","769208","7112429","7061067",420
420,11.41,0,0,0,"60642837","150755402","769208","7112429","7061067",686
686,5.37,0.54,0,0,"60642837","150755402","769208","7112429","7061067",574
574,4.92,0,0,0,"60642837","150755402","769208","7112429","7061067",685
685,8.5,0,0,0,"60642837","150755402","769208","7112429","7061067",736
736,10.29,0,0,0,"60642837","150755402","769208","7112429","7061067",631
631,11.63,0,0,0.0087719298245614,"54820616","141227567","776147","6994737","6959429",487
487,12.97,0.01,0,0,"54820616","141227567","776147","6994737","6959429",707
707,8.5,0.37,0,0,"54820616","141227567","776147","6994737","6959429",613
